ID,Title,Year,Age,Rotten Tomatoes (out of 100),Netflix,Hulu,Prime Video,Disney+,Type
48,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87,1,0,0,0,0
49,A Secret Love,2020,18+,87,1,0,0,0,0
50,The Night Comes for Us,2018,18+,87,1,0,0,0,0
51,Pad Man,2018,13+,87,1,0,0,0,0
52,American Factory,2019,13+,86,1,0,0,0,0
53,Bird Box,2018,18+,86,1,0,0,0,0
54,The Pianist,2002,18+,86,1,0,0,0,0
55,3 Idiots,2009,13+,86,1,0,0,0,0
56,The Distinguished Citizen,2016,,86,1,0,0,0,0
57,A Shaun the Sheep Movie: Farmageddon,2019,all,86,1,0,0,0,0
58,What Happened to Monday,2017,18+,86,1,0,0,0,0
59,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86,1,0,0,0,0
60,The White Helmets,2016,16+,86,1,0,0,0,0
61,Invader ZIM: Enter the Florpus,2019,7+,86,1,0,0,0,0
62,Happy as Lazzaro,2018,13+,85,1,0,0,0,0
63,Chasing Coral,2017,,85,1,0,0,0,0
64,Kal Ho Naa Ho,2003,all,85,1,0,0,0,0
65,Pan's Labyrinth,2006,18+,85,1,0,0,0,0
66,Team Foxcatcher,2016,16+,85,1,0,0,0,0
67,The Meyerowitz Stories (New and Selected),2017,18+,85,1,0,0,0,0
68,Casino Royale,2006,13+,85,1,0,0,0,0
69,The Hateful Eight,2015,18+,85,1,0,0,0,0
70,Rush,2013,18+,84,1,0,0,0,0
71,Zombieland,2009,18+,84,1,0,0,0,0
72,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84,1,0,0,0,0
73,Kapoor & Sons,2016,13+,84,1,0,0,0,0
74,The Perfection,2018,18+,84,1,0,0,0,0
75,Dave Chappelle: Sticks & Stones,2019,18+,84,1,0,0,0,0
76,There Will Be Blood,2007,18+,84,1,0,0,0,0
77,Million Dollar Baby,2004,13+,84,1,0,0,0,0
78,The Social Network,2010,13+,84,1,1,0,0,0
79,The Christmas Chronicles,2018,7+,84,1,0,0,0,0
80,The Pixar Story,2007,all,84,1,0,0,0,0
81,Ma Rainey's Black Bottom,2020,18+,84,1,0,0,0,0
82,Calibre,2018,18+,84,1,0,0,0,0
83,Silver Linings Playbook,2012,18+,84,1,0,0,0,0
84,Over the Moon,2020,7+,84,1,0,0,0,0
85,"What Happened, Miss Simone?",2015,,84,1,0,0,0,0
86,Nightcrawler,2014,18+,84,1,0,0,0,0
87,1922,2017,18+,84,1,0,0,0,0
88,Paddleton,2019,18+,84,1,0,0,0,0
89,Cargo,2017,,84,1,0,0,0,0
90,Cuba and the Cameraman,2017,,83,1,0,0,0,0
91,The Ritual,2017,18+,83,1,0,0,0,0
92,The Hater,2020,18+,83,1,0,0,0,0
93,The Edge of Democracy,2019,16+,83,1,0,0,0,0
94,22-Jul,2018,18+,83,1,0,0,0,0
95,Adam Sandler: 100% Fresh,2018,18+,83,1,0,0,0,0
96,Guru,2007,13+,83,1,0,0,0,0
97,A Twelve-Year Night,2018,18+,83,1,0,0,0,0
98,Dumplin',2018,13+,83,1,0,0,0,0
99,The Conjuring,2013,18+,83,1,0,0,0,0
100,Marriage Story,2019,18+,83,1,0,0,0,0
101,My Octopus Teacher,2020,all,83,1,0,0,0,0
102,About Time,2013,13+,83,1,0,0,0,0
103,Hey Arnold! The Jungle Movie,2017,7+,83,1,1,0,0,0
104,Kung Fu Panda,2008,7+,83,1,0,0,0,0
105,Superbad,2007,18+,83,1,0,0,0,0
106,The Invisible Guest,2016,18+,83,1,0,0,0,0
107,Mystic River,2003,18+,82,1,0,0,0,0
108,The Theory of Everything,2014,13+,82,1,0,0,0,0
109,Springsteen On Broadway,2018,,82,1,0,0,0,0
110,The Life Ahead,2020,13+,82,1,0,0,0,0
111,The Terminal,2004,13+,82,1,0,1,0,0
112,Scott Pilgrim vs. the World,2010,13+,82,1,0,0,0,0
113,Being Elmo: A Puppeteer's Journey,2011,7+,82,1,0,0,0,0
114,The Resistance Banker,2018,18+,82,1,0,0,0,0
115,How to Train Your Dragon 2,2014,7+,82,1,0,0,0,0
116,The Endless Trench,2019,,82,1,0,0,0,0
117,Even the Rain,2010,,82,1,0,0,0,0
118,Love Actually,2003,18+,82,1,0,0,0,0
119,Dear Ex,2018,18+,82,1,0,0,0,0
120,Braven,2018,18+,82,1,0,0,0,0
121,Period. End of Sentence.,2018,,82,1,0,0,0,0
122,Captain Fantastic,2016,18+,82,1,0,0,0,0
123,Veronica,2017,18+,81,1,0,0,0,0
124,The Siege of Jadotville,2016,,81,1,0,0,0,0
125,Into the Inferno,2016,,81,1,0,0,0,0
126,Ricky Gervais: Humanity,2018,18+,81,1,0,0,0,0
127,A Whisker Away,2020,7+,81,1,0,0,0,0
128,Lady Bird,2017,18+,81,1,0,0,0,0
129,Road to Perdition,2002,18+,81,1,0,0,0,0
130,Bo Burnham: Inside,2021,18+,81,1,0,0,0,0
131,Snowpiercer,2013,18+,81,1,0,0,0,0
132,Circus of Books,2019,,81,1,0,0,0,0
133,Tallulah,2016,,81,1,0,0,0,0
134,The Conjuring 2,2016,18+,81,1,0,0,0,0
135,They'll Love Me When I'm Dead,2018,18+,81,1,0,0,0,0
136,Nocturnal Animals,2016,18+,81,1,0,0,0,0
137,Get Me Roger Stone,2017,16+,81,1,0,0,0,0
138,Hachi: A Dog's Tale,2009,all,81,1,0,0,0,0
139,Udta Punjab,2016,18+,80,1,0,0,0,0
140,Bareilly's Barfi,2017,,80,1,0,0,0,0
141,Divines,2016,,80,1,0,0,0,0
142,Maktub,2017,7+,80,1,0,0,0,0
143,Ittefaq,2017,7+,80,1,0,0,0,0
144,Hannah Gadsby: Nanette,2018,18+,80,1,0,0,0,0
145,Ali Wong: Hard Knock Wife,2018,18+,80,1,0,0,0,0
146,Seven Pounds,2008,13+,80,1,0,1,0,0
147,Uncut Gems,2019,18+,80,1,0,0,0,0
148,The Kindergarten Teacher,2018,18+,80,1,0,0,0,0
149,Les Misérables,2012,13+,80,1,0,1,0,0
150,The Sky Is Pink,2019,,80,1,0,0,0,0
151,Next Gen,2018,7+,80,1,0,0,0,0
152,Tom Segura: Disgraceful,2018,13+,80,1,0,0,0,0
153,My Happy Family,2017,,80,1,0,0,0,0
154,The American Meme,2018,,80,1,0,0,0,0
155,Badla,2019,7+,80,1,0,0,0,0
156,Okko's Inn,2018,7+,80,1,0,0,0,0
157,The Willoughbys,2020,7+,80,1,0,0,0,0
158,Hunt for the Wilderpeople,2016,13+,80,1,1,0,0,0
159,Stardust,2007,13+,79,1,0,0,0,0
160,Wheelman,2017,18+,79,1,0,0,0,0
161,The Artist,2011,13+,79,1,1,0,0,0
162,On My Skin,2018,18+,79,1,0,0,0,0
163,Gaga: Five Foot Two,2017,18+,79,1,0,0,0,0
164,Hugo,2011,7+,79,1,0,0,0,0
165,The Impossible,2012,13+,79,1,0,0,0,0
166,War Dogs,2016,18+,79,1,0,0,0,0
167,Ip Man,2008,18+,79,1,0,0,0,0
168,The Speed Cubers,2020,,79,1,0,0,0,0
169,Kung Fu Panda 2,2011,7+,79,1,0,0,0,0
170,The Dirt,2019,18+,79,1,0,0,0,0
171,Andhadhun,2018,,79,1,0,0,0,0
172,Atlantics,2019,13+,79,1,0,0,0,0
173,37 Seconds,2019,,79,1,0,0,0,0
174,El Camino: A Breaking Bad Movie,2019,18+,79,1,0,0,0,0
175,Underworld,2003,18+,79,1,1,1,0,0
176,The Ring,2002,13+,79,1,0,1,0,0
177,Hold the Dark,2018,,79,1,0,0,0,0
178,Quincy,2018,18+,79,1,0,0,0,0
179,The Patriot,2000,18+,79,1,0,0,0,0
180,Get In,2019,18+,79,1,0,0,0,0
181,ZZ Top: That Little Ol' Band From Texas,2019,,79,1,0,0,0,0
182,Jerry Before Seinfeld,2017,16+,79,1,0,0,0,0
183,Mike Birbiglia: The New One,2019,,78,1,0,0,0,0
184,A Silent Voice: The Movie,2016,13+,78,1,0,0,0,0
185,Klaus,2019,7+,78,1,0,0,0,0
186,Snowden,2016,18+,78,1,0,0,0,0
187,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78,1,0,0,0,0
188,The Da Vinci Code,2006,13+,78,1,1,0,0,0
189,Stranger Than Fiction,2006,13+,78,1,0,0,0,0
190,Don 2,2011,,78,1,0,0,0,0
191,Elena,2013,,78,1,0,0,0,0
192,Real Steel,2011,13+,78,1,0,0,0,0
193,The Founder,2017,13+,78,1,0,0,0,0
194,Shirkers,2018,,78,1,0,0,0,0
195,Chef,2014,18+,78,1,0,0,0,0
196,Fire in the Blood,2013,,78,1,0,0,0,0
197,Miles Davis: Birth of the Cool,2019,,78,1,0,0,0,0
198,Insidious,2010,13+,78,1,0,0,0,0
199,Screwball,2019,,78,1,0,0,0,0
200,The Old Guard,2020,18+,78,1,0,0,0,0
201,Rango,2011,7+,78,1,0,0,0,0
202,Before I Wake,2016,13+,78,1,0,0,0,0
203,The Disaster Artist,2017,18+,78,1,0,0,0,0
204,Fruitvale Station,2013,18+,77,1,0,0,0,0
205,The Florida Project,2017,18+,77,1,0,0,0,0
206,Behind the Curve,2018,16+,77,1,0,0,0,0
207,Lawless,2012,18+,77,1,0,0,0,0
208,Errementari: The Blacksmith and the Devil,2018,18+,77,1,0,0,0,0
209,Audrie & Daisy,2016,,77,1,0,0,0,0
210,Quantum of Solace,2008,13+,77,1,0,0,0,0
211,The Master,2012,18+,77,1,0,0,0,0
212,Layer Cake,2004,18+,77,1,0,0,0,0
213,Flipped,2010,7+,77,1,0,0,0,0
214,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77,1,0,0,0,0
215,Friends with Benefits,2011,18+,77,1,1,0,0,0
216,Tig,2015,,77,1,0,0,0,0
217,Roll Red Roll,2019,,77,1,0,0,0,0
218,Enola Holmes,2020,13+,77,1,0,0,0,0
219,PK,2015,13+,77,1,0,0,0,0
220,Good Time,2017,18+,77,1,0,0,0,0
221,The Next Three Days,2010,13+,77,1,0,0,0,0
222,Miracle in Cell No. 7,2019,16+,77,1,0,0,0,0
223,Like Stars on Earth,2007,7+,77,1,0,0,0,0
224,Trixie Mattel: Moving Parts,2019,,77,1,0,0,0,0
225,Talaash,2012,,77,1,0,0,0,0
226,Evelyn,2019,,77,1,0,0,0,0
227,I Am Sam,2001,13+,77,1,0,0,0,0
228,In the Shadow of the Moon,2019,18+,77,1,0,0,0,0
229,Memoirs of a Geisha,2005,13+,76,1,0,0,0,0
230,John Leguizamo's Latin History for Morons,2018,7+,76,1,0,0,0,0
231,And Breathe Normally,2018,16+,76,1,0,0,0,0
232,The Killing of a Sacred Deer,2017,18+,76,1,0,0,0,0
233,Angels & Demons,2009,13+,76,1,1,0,0,0
234,Smoke & Mirrors,2016,,76,1,0,0,0,0
235,Bright,2017,18+,76,1,0,0,0,0
236,Yes Man,2008,13+,76,1,0,0,0,0
237,Murder Mystery,2019,13+,76,1,0,0,0,0
238,Pink,2016,,76,1,0,0,0,0
239,The Photographer of Mauthausen,2018,18+,76,1,0,0,0,0
240,Flavors of Youth,2018,13+,76,1,0,0,0,0
241,13th,2016,18+,76,1,0,0,0,0
242,Ravenous,2017,18+,76,1,0,0,0,0
243,The Life of David Gale,2003,18+,76,1,0,0,0,0
244,Tramps,2016,,76,1,0,0,0,0
245,The Girl Next Door,2004,18+,76,1,0,0,0,0
246,The Two Popes,2019,13+,76,1,0,0,0,0
247,The Wandering Earth,2019,13+,76,1,0,0,0,0
248,Just Another Love Story,2007,,76,1,0,0,0,0
249,Eye for an Eye,2019,18+,76,1,0,0,0,0
250,Patton Oswalt: Annihilation,2017,,76,1,0,0,0,0
251,Joan Didion: The Center Will Not Hold,2017,,76,1,0,0,0,0
252,Steve Jobs,2015,18+,76,1,0,0,0,0
253,White Fang,2018,7+,76,1,0,0,1,0
254,A Monster Calls,2016,13+,76,1,0,0,0,0
255,Olympus Has Fallen,2013,18+,76,1,0,0,0,0
256,Talladega Nights: The Ballad of Ricky Bobby,2006,13+,76,1,0,0,0,0
257,The Time Traveler's Wife,2009,13+,76,1,0,0,0,0
258,State of Play,2009,13+,76,1,0,0,0,0
259,The Bank Job,2008,18+,76,1,0,0,0,0
260,Miss Sloane,2016,18+,76,1,0,0,0,0
261,Unknown,2011,13+,75,1,0,0,0,0
262,6 Underground,2019,18+,75,1,0,0,0,0
263,Uncorked,2020,13+,75,1,0,0,0,0
264,Petta,2019,,75,1,0,0,0,0
265,Justin Timberlake + The Tennessee Kids,2016,,75,1,0,0,0,0
266,"Bikram: Yogi, Guru, Predator",2019,18+,75,1,0,0,0,0
267,A Futile and Stupid Gesture,2018,18+,75,1,0,0,0,0
268,The Dig,2021,13+,75,1,0,0,0,0
269,Legally Blonde,2001,13+,75,1,0,0,0,0
270,Legend,2015,18+,75,1,0,0,0,0
271,Notes on Blindness,2016,,75,1,0,0,0,0
272,When We First Met,2018,16+,75,1,0,0,0,0
273,Best Worst Thing That Ever Could Have Happened...,2016,,75,1,0,0,0,0
274,Imperial Dreams,2014,,75,1,0,0,0,0
275,Black Mirror: Bandersnatch,2018,18+,75,1,0,0,0,0
276,Queen,2013,13+,75,1,0,0,0,0
277,Joshua: Teenager vs. Superpower,2017,16+,75,1,0,0,0,0
278,Shot Caller,2017,18+,75,1,0,0,0,0
279,Angel Has Fallen,2019,18+,75,1,0,0,0,0
280,Crimson Peak,2015,18+,75,1,0,0,0,0
281,Lemony Snicket's A Series of Unfortunate Events,2004,7+,75,1,0,0,0,0
282,The Red Sea Diving Resort,2019,18+,75,1,0,0,0,0
283,The Angel,2018,18+,75,1,0,0,0,0
284,Army of the Dead,2021,18+,75,1,0,0,0,0
285,Madagascar 3: Europe's Most Wanted,2012,7+,75,1,0,0,0,0
286,Icarus,2017,18+,75,1,0,0,0,0
287,Collateral Beauty,2016,13+,75,1,0,0,0,0
288,The Danish Girl,2015,18+,75,1,0,0,0,0
289,Green Zone,2010,18+,75,1,0,1,0,0
290,John Mulaney: New in Town,2012,18+,75,1,0,0,0,0
291,Strong Island,2017,,75,1,0,0,0,0
292,The White Tiger,2021,18+,75,1,0,0,0,0
293,Defiance,2008,18+,75,1,0,0,0,0
294,A Fortunate Man,2018,16+,75,1,0,0,0,0
295,The Death of Stalin,2017,18+,75,1,0,0,0,0
296,2012,2009,13+,75,1,1,0,0,0
297,Underworld: Awakening,2012,18+,74,1,1,0,0,0
298,Philomena,2013,13+,74,1,0,0,0,0
299,Sanju,2018,18+,74,1,0,0,0,0
300,Nappily Ever After,2018,18+,74,1,0,0,0,0
301,I Care a Lot,2021,18+,74,1,0,0,0,0
302,The Butler,2013,13+,74,1,0,0,0,0
303,Qarib Qarib Singlle,2017,,74,1,0,0,0,0
304,A Single Man,2009,18+,74,1,0,0,0,0
305,Home,2015,7+,74,1,0,1,0,0
306,Zack and Miri Make a Porno,2008,18+,74,1,1,1,0,0
307,Seeing Allred,2018,16+,74,1,0,0,0,0
308,Dostana,2008,13+,74,1,0,0,0,0
309,Remember Me,2010,13+,74,1,0,0,0,0
310,Underworld: Rise of the Lycans,2009,18+,74,1,0,0,0,0
311,The Lovely Bones,2009,13+,74,1,0,0,0,0
312,Madagascar: Escape 2 Africa,2008,7+,74,1,0,0,0,0
313,No Strings Attached,2011,18+,74,1,0,1,0,0
314,Heroin(e),2017,,74,1,0,0,0,0
315,A Ghost Story,2017,18+,74,1,0,0,0,0
316,Safety Not Guaranteed,2012,18+,74,1,0,0,0,0
317,Game Over,2019,13+,74,1,0,0,0,0
318,Peppermint,2018,18+,74,1,0,0,0,0
319,Have a Good Trip: Adventures in Psychedelics,2020,18+,74,1,0,0,0,0
320,Beasts of No Nation,2015,18+,74,1,0,0,0,0
321,Extinction,2018,18+,74,1,0,0,0,0
322,Nobody Knows I'm Here,2020,18+,74,1,0,0,0,0
323,ARQ,2016,18+,74,1,0,0,0,0
324,Ali's Wedding,2017,18+,74,1,0,0,0,0
325,Bo Burnham: Make Happy,2016,18+,74,1,0,0,0,0
326,Mank,2020,18+,74,1,0,0,0,0
327,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74,1,0,0,0,0
328,Due Date,2010,18+,74,1,0,0,0,0
329,Between Two Ferns: The Movie,2019,18+,74,1,0,0,0,0
330,Ip Man 2,2010,18+,74,1,0,0,0,0
331,Mirage,2018,18+,74,1,0,0,0,0
332,Puss in Boots,2011,7+,74,1,0,0,0,0
333,Austin Powers in Goldmember,2002,13+,74,1,0,0,0,0
334,The Kissing Booth,2018,16+,73,1,0,0,0,0
335,Hush,2016,18+,73,1,0,0,0,0
336,Lost Bullet,2020,18+,73,1,0,0,0,0
337,Dil Chahta Hai,2001,all,73,1,0,0,0,0
338,Soni,2019,18+,73,1,0,0,0,0
339,Bāhubali: The Beginning,2015,13+,73,1,0,0,0,0
340,Killing Them Softly,2012,18+,73,1,0,0,0,0
341,Swordfish,2001,18+,73,1,0,0,0,0
342,Wish Dragon,2021,7+,73,1,0,0,0,0
343,Raees,2017,18+,73,1,0,0,0,0
344,Let It Snow,2019,13+,73,1,0,0,0,0
345,The Babysitter: Killer Queen,2020,,73,1,0,0,0,0
346,Hardcore Henry,2015,18+,73,1,0,0,0,0
347,Tig Notaro: Happy To Be Here,2018,16+,73,1,0,0,0,0
348,Spelling the Dream,2020,all,73,1,0,0,0,0
349,Knock Down the House,2019,7+,73,1,0,0,0,0
350,Resident Evil: Extinction,2007,18+,73,1,1,0,0,0
351,Polar,2019,18+,73,1,0,0,0,0
352,Saving Capitalism,2017,7+,73,1,0,0,0,0
353,The Untold Tales of Armistead Maupin,2017,,73,1,0,0,0,0
354,The Mitchells vs. The Machines,2021,7+,73,1,0,0,0,0
355,Spenser Confidential,2020,18+,73,1,0,0,0,0
356,Psychokinesis,2018,,73,1,0,0,0,0
357,Monsters vs Aliens,2009,7+,73,1,0,0,0,0
358,Twilight,2008,13+,73,1,0,1,0,0
359,Self/less,2015,13+,73,1,0,0,0,0
360,The Highwaymen,2019,18+,73,1,0,0,0,0
361,ParaNorman,2012,7+,73,1,0,0,0,0
362,Holidate,2020,,73,1,0,0,0,0
363,Fear Street Part Two: 1978,2021,18+,73,1,0,0,0,0
364,Pee-wee's Big Holiday,2016,7+,73,1,0,0,0,0
365,Gunpowder Milkshake,2021,18+,73,1,0,0,0,0
366,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73,1,0,0,0,0
367,I Am Not Your Negro,2017,18+,73,1,1,0,0,0
368,Midnight Special,2016,13+,73,1,0,0,0,0
369,Layla M.,2016,,73,1,0,0,0,0
370,Homefront,2013,18+,73,1,0,0,0,0
371,The Squid and the Whale,2005,18+,73,1,0,0,0,0
372,Comedian,2002,18+,73,1,0,0,0,0
373,No Escape,2015,18+,73,1,0,0,0,0
374,Mercury 13,2018,,73,1,0,0,0,0
375,The Professor and the Madman,2019,,73,1,0,0,0,0
376,Asperger's Are Us,2016,,73,1,0,0,0,0
377,The Garden of Words,2013,13+,73,1,0,0,0,0
378,Fractured,2019,18+,73,1,0,1,0,0
379,The Queen,2006,13+,73,1,0,0,0,0
380,The Whole Nine Yards,2000,18+,72,1,0,0,0,0
381,E-Team,2014,,72,1,0,0,0,0
382,The Discovery,2017,18+,72,1,0,0,0,0
383,The Strangers,2008,18+,72,1,0,0,0,0
384,Penguins of Madagascar,2014,7+,72,1,0,0,0,0
385,She's Out of My League,2010,18+,72,1,0,1,0,0
386,Voyeur,2017,18+,72,1,0,0,0,0
387,It Comes at Night,2017,18+,72,1,0,0,0,0
388,The Manchurian Candidate,2004,18+,72,1,0,1,0,0
389,Bon Cop Bad Cop 2,2017,,72,1,0,0,0,0
390,Hot Rod,2007,13+,72,1,0,1,0,0
391,The BFG,2016,7+,72,1,0,0,0,0
392,Sunday's Illness,2018,13+,72,1,0,0,0,0
393,The Lorax,2012,7+,72,1,1,0,0,0
394,Win It All,2017,18+,72,1,0,0,0,0
395,Mile 22,2018,18+,72,1,0,0,0,0
396,Tenacious D in The Pick of Destiny,2006,18+,72,1,0,0,0,0
397,The Sum of All Fears,2002,13+,72,1,0,0,0,0
398,G.O.R.A.,2004,13+,72,1,0,0,0,0
399,The Perfect Date,2019,16+,72,1,0,0,0,0
400,Code 8,2019,,72,1,0,0,0,0
401,Cowspiracy: The Sustainability Secret,2014,,72,1,0,0,0,0
402,Life As We Know It,2010,13+,72,1,0,0,0,0
403,American Assassin,2017,18+,72,1,0,0,0,0
404,August: Osage County,2013,18+,72,1,0,0,0,0
405,Who Am I,2014,,72,1,0,0,0,0
406,Free State of Jones,2016,18+,72,1,0,0,0,0
407,Beast Stalker,2008,,72,1,0,0,0,0
408,Dark Skies,2013,16+,72,1,0,0,0,0
409,Safe Haven,2013,13+,72,1,0,0,0,0
410,Bāhubali 2: The Conclusion,2017,7+,72,1,0,0,0,0
411,Outlaw King,2018,18+,72,1,0,0,0,0
412,Cloudy with a Chance of Meatballs 2,2013,7+,72,1,0,0,0,0
413,Turbo,2013,7+,72,1,0,0,0,0
414,G.I. Joe: The Rise of Cobra,2009,13+,72,1,0,0,0,0
415,Horns,2013,18+,72,1,0,0,0,0
416,Drishyam,2015,18+,72,1,0,0,0,0
417,Triple Frontier,2019,18+,72,1,0,0,0,0
418,"Hail, Caesar!",2016,13+,72,1,0,0,0,0
419,The Ice Road,2021,13+,72,1,0,0,0,0
420,Monster House,2006,7+,72,1,0,0,0,0
421,Freaks,2019,18+,72,1,0,0,0,0
422,Felon,2008,18+,72,1,0,0,0,0
423,Horse Girl,2020,18+,72,1,0,0,0,0
424,A Christmas Prince,2017,7+,72,1,0,1,0,0
425,Hillbilly Elegy,2020,18+,72,1,0,0,0,0
426,American Ultra,2015,18+,72,1,0,0,0,0
427,First Match,2018,18+,72,1,0,0,0,0
428,The Tourist,2010,13+,72,1,0,0,0,0
429,The Dawn Wall,2017,16+,72,1,0,0,0,0
430,I'm Thinking of Ending Things,2020,18+,71,1,0,0,0,0
431,Shutter,2004,18+,71,1,0,0,0,0
432,Surf's Up,2007,7+,71,1,0,1,0,0
433,The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71,1,0,0,0,0
434,Jagga Jasoos,2017,7+,71,1,0,0,0,0
435,The Burial of Kojo,2018,,71,1,0,0,0,0
436,Bee Movie,2007,7+,71,1,0,0,0,0
437,Seoul Searching,2015,18+,71,1,0,0,0,0
438,Before I Fall,2017,13+,71,1,0,0,0,0
439,The Babysitter,2017,18+,71,1,0,0,0,0
440,After,2019,13+,71,1,0,0,0,0
441,"As Above, So Below",2014,18+,71,1,0,0,0,0
442,Bo Burnham: What.,2013,18+,71,1,0,0,0,0
443,Stree,2018,,71,1,0,1,0,0
444,Velvet Buzzsaw,2019,18+,71,1,0,0,0,0
445,Savages,2012,18+,71,1,0,0,0,0
446,Jupiter Ascending,2015,13+,71,1,0,0,0,0
447,Spectral,2016,13+,71,1,0,0,0,0
448,Resident Evil: Afterlife,2010,18+,71,1,1,0,0,0
449,Accepted,2006,13+,71,1,0,0,0,0
450,"Live Twice, Love Once",2019,18+,71,1,0,0,0,0
451,Iliza Shlesinger: Elder Millennial,2018,18+,71,1,0,0,0,0
452,Zindagi Na Milegi Dobara,2011,7+,71,1,0,0,0,0
453,Free Fire,2017,18+,71,1,0,0,0,0
454,Soorma,2018,13+,71,1,0,0,0,0
455,The Zookeeper's Wife,2017,13+,71,1,0,0,0,0
456,Time Share,2018,18+,71,1,0,0,0,0
457,The Outpost,2019,18+,71,1,0,0,0,0
458,Kabir Singh,2019,,71,1,0,0,0,0
459,Homecoming: A Film by Beyoncé,2019,13+,71,1,0,0,0,0
460,Jerry Seinfeld: 23 Hours to Kill,2020,7+,71,1,0,0,0,0
461,Ip Man 4: The Finale,2019,16+,71,1,0,0,0,0
462,The Laundromat,2019,18+,71,1,0,0,0,0
463,The 12th Man,2017,,71,1,1,0,0,0
464,Bad Trip,2020,18+,71,1,0,0,0,0
465,Mr. Peabody & Sherman,2014,7+,71,1,0,0,0,0
466,Ip Man 3,2015,13+,71,1,0,0,0,0
467,Rang De Basanti,2006,13+,71,1,0,0,0,0
468,The Midnight Sky,2020,13+,71,1,0,0,0,0
469,Mr. Right,2016,18+,71,1,0,0,0,0
470,Synchronic,2020,18+,71,1,0,0,0,0
471,Adrift,2018,13+,70,1,0,0,0,0
472,The Game Changers,2019,,70,1,0,0,0,0
473,Michelle Wolf: Joke Show,2019,,70,1,0,0,0,0
474,Da 5 Bloods,2020,18+,70,1,0,0,0,0
475,The American,2010,18+,70,1,0,1,0,0
476,The Best of Enemies,2019,13+,70,1,0,0,0,0
477,Forgotten,2017,18+,70,1,0,1,0,0
478,I Don't Feel at Home in This World Anymore,2017,18+,70,1,0,0,0,0
479,Never Back Down,2008,13+,70,1,0,0,0,0
480,Fear Street: 1666,2021,18+,70,1,0,0,0,0
